Name,                               English,                                     Translation,                                   Restrictions, Comment
DnDMaker_UnsavedChanges,There are unsaved changes. Do you want to save?,There are unsaved changes. Do you want to save?,,DnD™ Maker unsaved changes confirmation dialog
DnDMaker_UnsavedLibrary,Do you want to save the current library before continuing?,Do you want to save the current library before continuing?,,DnD™ Maker unsaved library
DnDMaker_ExportFailed,Exporting library failed.,Exporting library failed.,,DnD™ Maker export failed message
DnDMaker_OpenFailed,Couldn't open the specified library.,Couldn't open the specified library.,,DnD™ Maker open library error message
DnDMaker_CantParentAction,Actions can't be parents.,Actions can't be parents.,,DnD™ Maker drag into action error
DnDMaker_CantParentGadget,Gadgets can't be parents.,Gadgets can't be parents.,,DnD™ Maker drag into Gadgets error
DnDMaker_NoSelectedGadget,You have not selected a gadget.,You have not selected a gadget.,,DnD™ Maker no selected gadget error
DnDMaker_NoCopiedGadget,You have not copied a gadget.,You have not copied a gadget.,,DnD™ Maker no copied gadget error
DnDMaker_LayoutWizard,Layout Wizard,Layout Wizard,,DnD™ Maker layout wizard name
DnDMaker_LayoutWizardHelpText,This wizard helps you easily create a layout for your DnD™ action.,This wizard helps you easily create a layout for your DnD™ action.,,DnD™ Maker layout wizard help text
DnDMaker_LayoutWizardArgCount,How many arguments do you need?,How many arguments do you need?,,DnD™ Maker layout wizard arg count
DnDMaker_LayoutWizardArgCaption,Caption,Caption,,DnD™ Maker layout wizard arg caption label
DnDMaker_LayoutWizardArgGadget,Argument Gadget,Gadget,,DnD™ Maker layout wizard arg gadget label
DnDMaker_LayoutWizardArgTagName,Tag Name,Tag Name,,DnD™ Maker layout wizard arg tag name label
DnDMaker_LayoutWizardIsRelative,Can Be Relative?,Can Be Relative?,,DnD™ Maker layout wizard can be relative label
DnDMaker_LayoutWizardProperties,Properties,Properties,,DnD™ Maker layout wizard properties label
DnDMaker_LayoutWizardIsTemp,Can Be Temp?,Can Be Temp?,,DnD™ Maker layout wizard can be temp label
DnDMaker_NoLayoutWizardLayout,Layout wizard layout is missing.,Layout wizard layout is missing.,,DnD™ Maker layout wizard error
DnD_Gadget_Label,Label,Label,,DnD™ Label gadget localised name
DnD_Gadget_StackPanel,Stack Panel,Stack Panel,,DnD™ Stack Panel gadget localised name
DnD_Gadget_Grid,Grid,Grid,,DnD™ Grid gadget localised name
DnD_Gadget_MKConstantSelector,Mouse & Key Selector,Mouse & Key Selector,,DnD™ gadget localised name
Tutorial_Install_NoTutorials,Failed to find any tutorials in the installed package,Failed to find any tutorials in the installed package,,tutorial install error message
Tutorial_Install_Complete,Tutorial install complete!,Tutorial install complete!,,tutorial install complete message
Tutorial_Menu_OpenInBrowser,Open in browser,Open in browser,,tutorial context menu entry
Tutorial_WindowTitle,Tutorial: {0},Tutorial: {0},,tutorial window title
Tutorial_LoadFailed,Error loading tutorial file: {0},Error loading tutorial file: {0},,tutorial load error message
Tutorial_ProjectFileMissing,Could not find tutorial template project: {0},Could not find tutorial template project: {0},,tutorial missing template project error message
Tutorial_Install_Title,Installing Tutorial,Installing Tutorial,,tutorial install window title
Tutorial_Installing_Label,Installing:{0},Installing:{0},,tutorial install window name label
Tutorial_Install_ErrorTitle,Error installing tutorial,Error installing tutorial,,turorial install error
Tutorial_Install_ErrorMessage,Failed to install tutorial package '{0}',Failed to install tutorial package '{0}',,tutorial install fail message
Tutorial_Create_DisplayNameMissing,Display name must be set,Display name must be set,,tutorial create error
Tutorial_DisplayNameLabel,Display Name:,Display Name:,,tutorial settings display name 
Tutorial_IconFileLabel,Icon File:,Icon File:,,tutorial setting icon file label
Tutorial_VideoSettingsLabel,Optional video settings,Optional video settings,,tutorial settings optional video label
Tutorial_VideoUrlLabel,Video URL:,Video URL:,,tutorial setting label
Tutorial_VideoHtmlLabel,HTML Video Page:,HTML Video Page:,,tutorial setting label
Tutorial_StartPageLabel,HTML Start Page:,HTML Start Page:,,tutorial setting label
Tutorial_Settings_Description,Tutorial Content Settings:,Tutorial Content Settings:,,tutorial setting description
Tutorial_Dock_Title,Tutorial,Tutorial,,tutorial dock tab title
Tutorial_FileMissing,Could not find {0},Could not find {0}',,tutorial missing file message
Tutorial_DisplayNameMissing,Display name must be set,Display name must be set,,tutorial missing display name message
Tutorial_PurchaseFailed,Error acquiring tutorial: {0}, Error acquiring tutorial: {0},,tutorial purchase error message
Tutorial_CreateInfo,"Add content to Included Files ""TutorialContent"" folder","Add content to Included Files ""TutorialContent"" folder",,tutorial package create info label
Tutorial_CreateInfo2,"Add files for the user to import to Included Files ""TutorialResources"" folder","Add files for the user to import to Included Files ""TutorialResources"" folder",,tutorial package create info label
Tutorial_UpdateAvailableNotification,Update Available: {0},Update Available: {0},,tutorial package update available notification
Demo_PurchaseFailed,Error Acquiring Demo: {0}, Error Acquiring Demo: {0},,demo purchase error message
yyzimporter_message,YYZ Importer,YYZ Importer,,YYZ Importer Message Title
yyzimporter_failed,Failed to import YYZ,Failed to import YYZ,,Failed to import YYZ error message
yyzexport_message,YYZ Exporter,YYZ Exporter,,YYZ Exporter Message Title
yyzexport_success,YYZ Exported Successfully,YYZ Exported Successfully,,YYZ Exported Successfully
yyzexport_failed,YYZ Export Failed,YYZ Export Failed,,YYZ Export Failed
InheritFromDialog_Title,Inherit From Project,Inherit From Project,,title for inherit from project dialog
DnDEditor_Menu_Workspace,Workspace,Area de trabajo,,DnD™ Editor Workspace caption
DnDEditor_Menu_Save,Save,Guardar,,DnD™ Editor Workspace Save caption
DnDEditor_Menu_Reload,Reload,Recargar,,DnD™ Editor Workspace Reload caption
DnDEditor_CMenu_Preview,Live Preview,Live Preview,,DnD™ Editor Workspace Reload caption
DnDEditor_LivePreviewTitle,DnD™ Preview,DnD™ Preview,,DnD live preview tab title
DnDNodeWindow_CMenu_PanToThis,Pan,Pan,,DnD™ node window context menu
DnDNodeWindow_CMenu_Copy,Copy,Copy,,DnD™ node window context menu
DnDNodeWindow_CMenu_Cut,Cut,Cut,,DnD™ node window context menu
DnDNodeWindow_CMenu_Help,Show Help...,Show Help...,,DnD node window context menu
DnDNodeWindow_CMenu_Paste,Paste,Paste,,DnD™ node window context menu
DnDNodeWindow_CMenu_CollapseAll,Collapse All,Collapse All,,DnD node window context menu
DnDNodeWindow_CMenu_Evaluate,Evaluate...,Evaluate...,,DnD™ node window context menu
ggs_graphics_scale,Scaling,Scaling,,Game Settings Graphics Scale title
ggs_graphics_scale_keepaspectratio,Keep aspect ratio,Keep aspect ratio,,Game Settings Graphics Scale - Keep Aspect Ratio option
ggs_graphics_scale_fullscale,Full scale,Full scale,,Game Settings Graphics Scale - Full scale option
ggs_version,Version,Version,,Game Settings Version title
ImagePath_ImageError,Error Selecting Image,Error Selecting Image,,Error when using image_path gadget to select an image
ImagePath_NotExpectedDimensions,The image is expected to be of {0}x{1} but received {2}x{3},The image is expected to be of {0}x{1} but received {2}x{3},,Image wrong size with 0x1 being expected size and 2x3 being the image size
ImagePath_NotExpectedAlpha,The image is expected to have an alpha channel (i.e. be 32-bit),The image is expected to have an alpha channel (i.e. be 32-bit),,The image needs to have an alpha channel but the selected one does not
ImagePath_FileError,Cannot access file: {0},Cannot access file: {0},,Error when trying to access file where 0 is the filename
ggs_windows_save_localappdata,%localappdata%\<Game Name>,%localappdata%\<Game Name>,,Save Path to Local App Data
ggs_windows_save_appdata,%appdata%\<Game Name>,%appdata%\<Game Name>,,Save Path to Local App Data
ggs_vertex_buffer_method,Vertex Buffer Method,Vertex Buffer Method,,Vertex Buffer Method
ggs_graphics_vbuffer_fast,Fast,Fast,,Fast vertex buffer method
ggs_graphics_vbuffer_compatible,Compatible,Compatible,,Compatible vertex buffer method
ggs_graphics_vbuffer_most_compatible,Most Compatible,Más Compatible,,Most Compatible vertex buffer method
ggs_texturepage_256,256x256,256x256,,256x256 Texture Page Size
ggs_texturepage_512,512x512,512x512,,512x512 Texture Page Size
ggs_texturepage_1024,1024x1024,1024x1024,,1024x1024 Texture Page Size
ggs_texturepage_2048,2048x2048,2048x2048,,2048x2048 Texture Page Size
ggs_texturepage_4096,4096x4096,4096x4096,,4096x4096 Texture Page Size
ggs_texturepage_8192,8192x8192,8192x8192,,8192x8192 Texture Page Size
ggs_certificate_install,Install,Instalar,,Install Certificate
ggs_win8_logo_foreground_light,Light,Claro,,Light foreground text on Windows 8 logo
ggs_win8_logo_foreground_dark,Dark,Oscuro,,Dark foreground text on Windows 8 logo
Edit,Edit,Editar,,Edit label
ggs_ps_package_id,Package Content Id,Package Content Id,,Package Content Id
ggs_ps_passcode,Package Passcode,Package Passcode,,Package Passcode
ggs_mac_provision_refresh,Refresh from Mac,Refresh from Mac,,Refresh provisioning list from Mac
ggs_ps4_param_sfo,PARAM.SFO,PARAM.SFO,,Run Sony PARAM.SFO Editor
ggs_ps4_trophy_edit,Trophy Editor,Trophy Editor,,Run Sony Trophy Editor
ggs_build_tools,Build Tools,Build Tools,,Build Tools
ggs_package_name,Package Name,Package Name,,Package Name
ggs_target_sdk,Target SDK,Target SDK,,Target SDK
ggs_minimum_sdk,Minimum SDK,Minimum SDK,,Minimum SDK
ggs_compile_sdk,Compile SDK,Compile SDK,,Compile SDK
ggs_0_seconds,0 seconds,0 segundos,,0 seconds
ggs_1_seconds,1 second,1 segundo,,1 second
ggs_2_seconds,2 seconds,2 segundos,,2 seconds
ggs_3_seconds,3 seconds,3 segundos,,3 seconds
ggs_4_seconds,4 seconds,4 segundos,,4 seconds
ggs_5_seconds,5 seconds,5 segundos,,5 seconds
ggs_6_seconds,6 seconds,6 segundos,,6 seconds
ggs_7_seconds,7 seconds,7 segundos,,7 seconds
ggs_8_seconds,8 seconds,8 segundos,,8 seconds
ggs_9_seconds,9 seconds,9 segundos,,9 seconds
ggs_10_seconds,10 seconds,10 segundos,,10 seconds
ggs_android_install_auto,Automatic,Automático,,Automatic install location
ggs_android_install_prefer_external,Prefer External,Prefiero externo,,Prefer External install location
ggs_16bit,16bit,16bit,,16 bit depth
ggs_24bit,24bit,24bit,,24 bit depth
ggs_android_device_gpu,Only support Android Devices with a GPU,Only support Android Devices with a GPU,,Only install on Android devices with a GPU
ggs_android_device_any,Install on any supported Android Device,Install on any supported Android Device,,Install on any Android Device
ggs_webgl,WebGL,WebGL,,WebGL
ggs_webgl_disabled,Disabled,Discapacitado,,WebGL Disabled
ggs_webgl_required,Required,Requerido,,WebGL Required
ggs_webgl_autodetect,Auto Detect,Detectar automáticamente,,Auto Detect WebGL
ggs_ios_devices_iphone_and_touch,iPhone or iPod Touch,iPhone or iPod Touch,,iPhone or iPod Touch device selection
ggs_ios_devices_ipad,iPad,iPad,,iPad device selection
ggs_both,Both,Ambos,,Both selections
ggs_orientation,Orientation,Orientación,,Orientation
ggs_portrait,Portrait,Retrato,,Portrait Orientation
ggs_landscape,Landscape,Paisaje,,Landscape Orientation
ggs_application,Application,Aplicación,,Application setting
ggs_game,Game,Juego,,Game setting
ggs_light,Light,Claro,,Light setting
ggs_dark,Dark,Oscuro,,Dark setting
ggs_x86,x86,x86,,x86 setting
ggs_x64,x64,x64,,x64 setting
ggs_arm,ARM,ARM,,ARM setting
ggs_displayname,Display Name,Display Name,,Display Name
ggs_exename,Executable Name,Executable Name,,Executable Name
ggs_display_cursor,Display Cursor,Display Cursor,,Display Cursor
ggs_package_domain,Package Domain,Package Domain,,Package Domain (.com)
ggs_package_company,Package Company,Package Company,,Package Company
ggs_package_product,Package Product,Package Product,,Package Product
ggs_build_armv5,Build for Armv5,Build for Armv5,,Build for Armv5
ggs_build_armv7,Build for Armv7,Build for Armv7,,Build for Armv7
ggs_build_x86,Build for x86,Build for x86,,Build for x86
ggs_build_mips,Build for Mips,Build for Mips,,Build for Mips
ggs_landscape_orientation,Allow Landscape Orientation,Allow Landscape Orientation,,Allow Landscape Orientation
ggs_portrait_orientation,Allow Portrait Orientation,Allow Portrait Orientation,,Allow Portrait Orientation
ggs_flipped_landscape_orientation,Allow Flipped Landscape Orientation,Allow Flipped Landscape Orientation,,Allow Flipped Landscape Orientation
ggs_flipped_portrait_orientation,Allow Flipped Portrait Orientation,Allow Flipped Portrait Orientation,,Allow Flipped Portrait Orientation
ggs_team_identifier,Team Identifier,Team Identifier,,Team Identifier
ggs_install_location,Install Location,Install Location,,Install Location
ggs_moga_gamepad_support,Enable MOGA Gamepad Support,Enable MOGA Gamepad Support,,Enable MOGA Gamepad Support
ggs_android_lint,Run Lint Code Analysis,Run Lint Code Analysis,,Run Lint Code Analysis
ggs_landscape_splash_screen,Landscape Splash Screen,Landscape Splash Screen,,Landscape Splash Screen
ggs_portrait_splash_screen,Portrait Splash Screen,Portrait Splash Screen,,Portrait Splash Screen
ggs_splash_screen,Splash Screen Image,Splash Screen Image,,Splash Screen Image
ggs_use_splash_screen,Use Splash Screen,Use Splash Screen,,Use Splash Screen
ggs_minimum_display_time,Minimum time to display,Minimum time to display,,Minimum time to display
ggs_interpolate_pixels,Interpolate colours between pixels,Interpolate colours between pixels,,Interpolate colours between pixels
ggs_screen_colour_depth,Screen Colour Depth,Profundidad del color de la pantalla,,Screen Colour Depth
ggs_device_support,Device Support,Soporte del dispositivo,,Device Support
ggs_scaling,Scaling,Scaling,,Scaling
ggs_texturepage_size,Texture Page Size,Texture Page Size,,Texture Page Size
ggs_ldpi_icon,Icon for ldpi,Icon for ldpi,,Icon for ldpi
ggs_mdpi_icon,Icon for mdpi,Icon for mdpi,,Icon for mdpi
ggs_hdpi_icon,Icon for hdpi,Icon for hdpi,,Icon for hdpi
ggs_xhdpi_icon,Icon for xhdpi,Icon for xhdpi,,Icon for xhdpi
ggs_xxhdpi_icon,Icon for xxhdpi,Icon for xxhdpi,,Icon for xxhdpi
ggs_xxxhdpi_icon,Icon for xxxhdpi,Icon for xxxhdpi,,Icon for xxxhdpi
ggs_use_facebook,Use Facebook,Use Facebook,,Use Facebook
ggs_facebook_id,Facebook App Id,Facebook App Id,,Facebook App Id
ggs_facebook_app_name,Facebook App Name,Facebook App Name,,Facebook App Name
ggs_enable_push_notifications,Enable Push Notificiations,Enable Push Notifications,,Enable Push Notifications
ggs_gcm_sender_id,GCM Sender Id,GCM Sender Id,,GCM Sender Id
ggs_enable_google_services,Enable Google Services,Enable Google Services,,Enable Google Services
ggs_enable_google_cloud_saving,Enable Google Cloud Saving,Enable Google Cloud Saving,,Enable Google Cloud Saving
ggs_google_services_id,Google Services Id,Google Services Id,,Google Services Id
ggs_enable_amazon_apis,Enable Amazon APIs,Enable Amazon APIs,,Enable Amazon APIs
ggs_enable_WRITE_EXTERNAL_STORAGE_permission,Enable WRITE_EXTERNAL_STORAGE permission,Enable WRITE_EXTERNAL_STORAGE permission,,Enable WRITE_EXTERNAL_STORAGE permission
ggs_enable_READ_PHONE_STATE_permission,Enable READ_PHONE_STATE permission,Enable READ_PHONE_STATE permission,,Enable READ_PHONE_STATE permission
ggs_enable_ACCESS_NETWORK_STATE_permission,Enable ACCESS_NETWORK_STATE permission,Enable ACCESS_NETWORK_STATE permission,,Enable ACCESS_NETWORK_STATE permission
ggs_enable_INTERNET_permission,Enable INTERNET permission,Enable INTERNET permission,,Enable INTERNET permission
ggs_enable_BLUETOOTH_permission,Enable BLUETOOTH permission,Enable BLUETOOTH permission,,Enable BLUETOOTH permission
ggs_enable_RECORD_AUDIO_permission,Enable RECORD_AUDIO permission,Enable RECORD_AUDIO permission,,Enable RECORD_AUDIO permission
ggs_enable_MICROPHONE_permission,Enable MICROPHONE permission,Enable MICROPHONE permission,,Enable MICROPHONE permission
ggs_enable_ID_CAP_MICROPHONE_permission,Enable ID_CAP_MICROPHONE permission,Enable ID_CAP_MICROPHONE permission,,Enable ID_CAP_MICROPHONE permission
ggs_enable_SEARCH_permission,Enable SEARCH permission,Enable SEARCH permission,,Enable SEARCH permission
ggs_bluetooth_icade_support,Enable Bluetooth/iCade Support,Enable Bluetooth/iCade Support,,Enable Bluetooth/iCade Support
ggs_haptic_effects,Enable Haptic Effects,Enable Haptic Effects,,Enable Haptic Effects
ggs_enable_google_licensing,Enable Google Licensing,Enable Google Licensing,,Enable Google Licensing
ggs_google_licensing_public_key,Google Licensing Public Key,Google Licensing Public Key,,Google Licensing Public Key
ggs_use_google_apk_expansion,Use Google APK Expansion,Use Google APK Expansion,,Use Google APK Expansion
ggs_banner,Banner Image,Banner Image,,Banner Image
ggs_isgame,Is Game,Is Game,,Is Game
ggs_included_file_as_index.html,Included file as index.html,Included file as index.html,,Included file as index.html
ggs_loading_bar_extension,Loading Bar Extension,Loading Bar Extension,,Loading Bar Extension
ggs_html5_browser_title,Title for Browser,Title for Browser,,Title for Browser
ggs_foldername,Name of Folder,Name of Folder,,Name of Folder
ggs_outputname,Output Name,Output Name,,Output Name
ggs_output_debug_to_console,Output Debug to Console,Output Debug to Console,,Output Debug to Console
ggs_generate_spotify_app,Generate Spotify App,Generate Spotify App,,Generate Spotify App
ggs_display_outside_server_alert,"Display ""Running outside server"" alert","Display ""Running outside server"" alert",,Display the running outside of server alert
ggs_prepend_js,Prepend output .js with,Prepend output .js with,,Prepend output .js with
ggs_icon,Icon,Icon,,Icon
ggs_icon_57,57x57 Icon,57x57 Icon,,57x57 Icon
ggs_icon_72,72x72 Icon,72x72 Icon,,72x72 Icon
ggs_icon_76,76x76 Icon,76x76 Icon,,76x76 Icon
ggs_icon_114,114x114 Icon,114x114 Icon,,114x114 Icon
ggs_icon_120,120x120 Icon,120x120 Icon,,120x120 Icon
ggs_icon_144,144x144 Icon,144x144 Icon,,144x144 Icon
ggs_icon_152,152x152 Icon,152x152 Icon,,152x152 Icon
ggs_icon_167,167x167 Icon,167x167 Icon,,167x167 Icon
ggs_icon_400,400x240 Icon,400x240 Icon,,400x240 Icon
ggs_icon_1280,1280x768 Icon,1280x768 Icon,,1280x768 Icon
ggs_iphone_landscape,iPhone Landscape,iPhone Landscape,,iPhone Landscape
ggs_iphone_portrait,iPhone Portrait,iPhone Portrait,,iPhone Portrait
ggs_iphone_retina_landscape,iPhone Retina Landscape,iPhone Retina Landscape,,iPhone Retina Landscape
ggs_iphone_retina_portrait,iPhone Retina Portrait,iPhone Retina Portrait,,iPhone Retina Portrait
ggs_iphone_5_landscape,iPhone 5 Landscape,iPhone 5 Landscape,,iPhone 5 Landscape
ggs_iphone_5_portrait,iPhone 5 Portrait,iPhone 5 Portrait,,iPhone 5 Portrait
ggs_iphone_6_landscape,iPhone 6 Landscape,iPhone 6 Landscape,,iPhone 6 Landscape
ggs_iphone_6_portrait,iPhone 6 Portrait,iPhone 6 Portrait,,iPhone 6 Portrait
ggs_iphone_6_plus_landscape,iPhone 6+ Landscape,iPhone 6+ Landscape,,iPhone 6+ Landscape
ggs_iphone_6_plus_portrait,iPhone 6+ Portrait,iPhone 6+ Portrait,,iPhone 6+ Portrait
ggs_ipad_landscape,iPad Landscape,iPad Landscape,,iPad Landscape
ggs_ipad_portrait,iPad Portrait,iPad Portrait,,iPad Portrait
ggs_ipad_retina_landscape,iPad Retina Landscape,iPad Retina Landscape,,iPad Retina Landscape
ggs_ipad_retina_portrait,iPad Retina Portrait,iPad Retina Portrait,,iPad Retina Portrait
ggs_allow_fullscreen,Allow Fullscreen Switching,Allow Fullscreen Switching,,Allow Fullscreen Switching
ggs_centre_game_in_browser,Centre game in Browser window,Centre game in Browser window,,Centre game in Browser window
ggs_use_builtin_particles,Use Built-in Particles,Use Built-in Particles,,Use Built-in Particles
ggs_bundlename,Bundle Name,Bundle Name,,Bundle Name
ggs_bundle_id,Bundle Id,Bundle Id,,Bundle Id
ggs_provisioning_certificate,Provisioning Certificate,Provisioning Certificate,,Provisioning Certificate
ggs_maintainer_email,Maintainer Email,Maintainer Email,,Maintainer Email
ggs_half_ipad1_textures,Half iPad 1 Texture Sizes,Half iPad 1 Texture Sizes,,Half iPad 1 Texture Sizes
ggs_homepage,Homepage,Homepage,,Homepage
ggs_short_description,Short Description,Short Description,,Short Description
ggs_long_description,Long Description,Long Description,,Long Description
ggs_start_fullscreen,Start Fullscreen,Start Fullscreen,,Start Fullscreen
ggs_vsync,Use synchronization to avoid tearing,Use synchronization to avoid tearing,,Use synchronization to avoid tearing
ggs_vsync_winuwp_tooltip,Just for information; this will always be locked for this platform,Just for information; this will always be locked for this platform,,vsync tooltip in win uwp options
ggs_player_resize_window,Allow player to resize window,Allow player to resize window,,Allow player to resize window
ggs_app_id,App Id,App Id,,App Id
ggs_app_output,App Output,App Output,,App Output
ggs_team_id,Team Identifier,Team Identifier,,the macOS Option for team identifier
ggs_team_id_tooltip,10 digit alpha-numeric identifier taken from your developer.apple.com/#/overview URL. If blank this will inherit the value set in Platform Options,10 digit alpha-numeric identifier taken from your developer.apple.com/#/overview URL. If blank this will inherit the value set in Platform Options,,Tooltip for signing identity
ggs_signing_id,Signing Identifier,Signing Identifier,,Signing Identifier Label
ggs_signing_id_tooltip,"To distribute your game outside of the Mac App Store El Capitan requires that\nyour game package is codesigned. Please provide the signing identity that you\nwish to use here, this should be a Developer ID Application identity and should\nbe present in your Mac's login keychain certificates. Signing identities can be\neasily created in Xcode->Preferences->Accounts->Team->View Details->Developer ID\nApplication->Create. Signing identities will be matched so the default value\nshould be sufficient if you are only the member of one development team. Leave\nthis field blank to skip codesigning.","To distribute your game outside of the Mac App Store El Capitan requires that\nyour game package is codesigned. Please provide the signing identity that you\nwish to use here, this should be a Developer ID Application identity and should\nbe present in your Mac's login keychain certificates. Signing identities can be\neasily created in Xcode->Preferences->Accounts->Team->View Details->Developer ID\nApplication->Create. Signing identities will be matched so the default value\nshould be sufficient if you are only the member of one development team. Leave\nthis field blank to skip codesigning.",,Tooltip for signing identity
ggs_copyright,Copyright,Copyright,,Copyright
ggs_allow_menu_dock_fullscreen,Allow Menu and Dock in Fullscreen,Allow Menu and Dock in Fullscreen,,Allow Menu and Dock in Fullscreen
ggs_build_mac_app_store,Build for Mac App Store,Build for Mac App Store,,Build for Mac App Store
ggs_allow_incoming_network_connections,Allow Incoming Network Connections,Allow Incoming Network Connections,,Allow Incoming Network Connections
ggs_allow_outgoing_network_connections,Allow Outgoing Network Connections,Allow Outgoing Network Connections,,Allow Outgoing Network Connections
ggs_mac_app_category,Mac App Store Category,Mac App Store Category,,Mac App Store Category
ggs_display_errors,Display Errors,Display Errors,,Display Errors
ggs_write_errors,Write Errors,Write Errors,,Write Errors
ggs_abort_errors,Abort Errors,Abort Errors,,Abort Errors
ggs_variable_errors,Variable Errors,Variable Errors,,Variable Errors
ggs_argument_errors,Argument Errors,Argument Errors,,Argument Errors
ggs_author,Author,Author,,Author
ggs_lastchanged,Last Changed,Last Changed,,Last Changed
ggs_information,Information,Information,,Information
ggs_enable_source_control,Enable Source Control,Enable Source Control,,Enable Source Control
ggs_content_id,Package Content Id,Package Content Id,,Package Content Id
ggs_passcode,Passcode,Passcode,,Passcode
ggs_save_data_icon,Save Data Icon,Save Data Icon,,Save Data Icon
ggs_trophy_screen,Trophy Screen,Trophy Screen,,Trophy Screen
ggs_display_cursor_when_touchpad_active,Display Cursor when Touchpad Active,Display Cursor when Touchpad Active,,Display Cusor when Touchpad Active
ggs_product,Product,Product,,Product
ggs_product_id,Product Id,Product Id,,Product Id
ggs_company,Company,Company,,Company
ggs_description,Description,Description,,Description
ggs_enable_front_touch,Enable Front Touch,Enable Front Touch,,Enable Front Touch
ggs_enable_rear_touch,Enable Rear Touch,Enable Rear Touch,,Enable Rear Touch
ggs_network_urls,Network URLs,Network URLs,,Network URLs
ggs_use_sandbox,Use Sandbox,Use Sandbox,,Use Sandbox
ggs_item_group_id,Item Group Id,Item Group Id,,Item Group Id
ggs_publisher,Publisher,Publisher,,Publisher
ggs_publisher_display_name,Publisher Display Name,Publisher Display Name,,Publisher Display Name
ggs_publisher_id,Publisher Id,Publisher Id,,Publisher Id
ggs_package_display_name,Package Display Name,Package Display Name,,Package Display Name
ggs_native_target,Native CPU Target,Native CPU Target,,Native CPU Target
ggs_windows_target_platform_version,Windows Target Platform Version,Windows Target Platform Version,,Windows Target Platform Version
ggs_windows_target_platform_min_version,Windows Target Platform Min Version,Windows Target Platform Min Version,,Windows Target Platform Min Version
ggs_small_image,Small Image,Small Image,,Small Image
ggs_smallish_image,Medium Image,Medium Image,,Medium Image
ggs_large_image,Large Image,Large Image,,Large Image
ggs_store_image,Store Image,Store Image,,Store Image
ggs_wide_image,Wide Image,Wide Image,,Wide Image
ggs_logo_image,Logo Image,Logo Image,,Logo Image
ggs_logo_background_colour,Logo Background Colour,Logo Background Colour,,Logo Background Colour
ggs_logo_foreground_colour,Logo Foreground Text Colour,Logo Foreground Text Colour,,Logo Foreground Text Colour
ggs_splash_background_colour,Splash Background Colour,Splash Background Colour,,Splash Background Colour
ggs_certificate_js,Certificate (JS),Certificate (JS),,Certificate (JS)
ggs_certificate_native,Certificate (Native),Certificate (Native),,Certificate (Native)
ggs_save_location,Save Location,Save Location,,Save Location
ggs_software_vertex_processing,Force Software Vertex Processing,Force Software Vertex Processing,,Force Software Vertex Processing
ggs_borderless,Borderless Window,Borderless Window,,Borderless Window
ggs_textures_on_demand,Create Textures on Demand,Create Textures on Demand,,Create Textures on Demand
ggs_sleep_margin,Sleep Margin in ms,Sleep Margin in ms,,Sleep Margin in ms
ggs_sleep_margin_windows,Sleep Margin in ms (default 10ms),Sleep Margin in ms (default 10ms),,Sleep Margin in ms with default of 10ms
ggs_sleep_margin_android,Sleep Margin in ms (default 4ms),Sleep Margin in ms (default 4ms),,Sleep Margin in ms with default of 10ms
ggs_alt_sync,Alternate synchronization method,Alternate synchronization method,,Alternate synchronization method
ggs_installer_finished_image,Installer Finished Image,Installer Finished Image,,Installer Finished Image
ggs_installer_header_image,Installer Header Image,Installer Header Image,,Installer Header Image
ggs_license_agreement,License Agreement,License Agreement,,License Agreement
ggs_installer_nsi_script,Installer NSI Script,Installer NSI Script,,Installer NSI Script
ggs_certificate_location,Store Certificate Location,Store Certificate Location,,Store Certificate Location
ggs_wvga_resolution,Support WVGA Resolution,Support WVGA Resolution,,Support WVGA Resolution
ggs_wxga_resolution,Support WXGA Resolution,Support WXGA Resolution,,Support WXGA Resolution
ggs_720p_resolution,Support 720p Resolution,Support 720p Resolution,,Support 720p Resolution
ggs_genre,Genre,Genre,,Genre
ggs_480_splash,480x800 Splash Screen,480x800 Splash Screen,,480x800 Splash Screen
ggs_720_splash,720x1280 Splash Screen,720x1280 Splash Screen,,720x1280 Splash Screen
ggs_768_splash,768x1280 Splash Screen,720x1280 Splash Screen,,720x1280 Splash Screen
ggs_small_front_flip_image,Small Front Flip Image,Small Front Flip Image,,Small Front Flip Image
ggs_medium_front_flip_image,Medium Front Flip Image,Medium Front Flip Image,,Medium Front Flip Image
ggs_medium_back_flip_image,Medium Back Flip Image,Medium Back Flip Image,,Medium Back Flip Image
ggs_wide_front_flip_image,Wide Front Flip Image,Wide Front Flip Image,,Wide Front Flip Image
ggs_wide_back_flip_image,Wide Back Flip Image,Wide Back Flip Image,,Wide Back Flip Image
ggs_front_flip_content,Front Flip Content,Front Flip Content,,Front Flip Content
ggs_back_flip_content,Back Flip Content,Back Flip Content,,Back Flip Content
ggs_small_iconic,Small Iconic,Small Iconic,,Small Iconic
ggs_wide_iconic,Wide Iconic,Wide Iconic,,Wide Iconic
ggs_iconic_wide_content1,Iconic Wide 1 Content,Iconic Wide 1 Content,,Iconic Wide 1 Content
ggs_iconic_wide_content2,Iconic Wide 2 Content,Iconic Wide 2 Content,,Iconic Wide 2 Content
ggs_iconic_wide_content3,Iconic Wide 3 Content,Iconic Wide 3 Content,,Iconic Wide 3 Content
ggs_iconic_background_colour,Iconic Background Colour,Iconic Background Colour,,Iconic Background Colour
ggs_iconic_message,Iconic Message,Iconic Message,,Iconic Message
ggs_ratings_xml,Ratings XML,Ratings XML,,Ratings XML
